province,year,month,mean_lights
Batangas,2012,5,0.564090409
Cavite,2012,5,1.411145479
Laguna,2012,5,1.197720931
Quezon,2012,5,0.147510823
Rizal,2012,5,0.6754008
Marinduque,2012,5,0.10533675
Mindoro Occidental,2012,5,0.093729407
Mindoro Oriental,2012,5,0.134671242
Palawan,2012,5,0.03482141
Romblon,2012,5,0.104684889
Guimaras,2012,6,-0.090218751
Iloilo,2012,6,0.039697856
Biliran,2012,6,-0.075273742
Leyte,2012,6,-0.002387099
Saranggani,2012,6,-0.097305617
South Cotabato,2012,6,0.184185157
Compostela,2012,6,-0.088290413
Davao del Norte,2012,6,0.036073754
Zamboanga Sibugay,2012,6,-4.28E-04
Zamboanga Del Sur,2012,6,0.042011482
Dinagat,2012,6,0.002362126
Surigao Del Norte,2012,6,0.010580589
Maguindanao,2012,6,-0.071892488
Shariff Kabunsuan,2012,6,-0.054530124
Abra,2012,6,-0.014488887
Apayao,2012,6,-0.012196012
Benguet,2012,6,0.225003386
Ifugao,2012,6,-0.002945536
Kalinga,2012,6,-0.01789783
Mountain Province,2012,6,-0.016127829
Metropolitan Manila,2012,6,9.458839839
Ilocos Norte,2012,6,0.047216171
Ilocos Sur,2012,6,0.043137341
La Union,2012,6,0.110138973
Pangasinan,2012,6,0.097953905
Batanes,2012,6,0.004707929
Cagayan,2012,6,0.005811742
Isabela,2012,6,0.013636514
Nueva Vizcaya,2012,6,-0.008827386
Quirino,2012,6,2.04E-04
Albay,2012,6,0.082202585
Camarines Norte,2012,6,0.012044868
Camarines Sur,2012,6,0.023563934
Catanduanes,2012,6,-0.018967591
Masbate,2012,6,-0.048396269
Sorsogon,2012,6,-0.009511057
Aklan,2012,6,-0.032447486
Antique,2012,6,-0.040777983
Capiz,2012,6,-0.066843612
Negros Occidental,2012,6,0.074862873
Bohol,2012,6,-0.074633997
Cebu,2012,6,0.672756103
Negros Oriental,2012,6,0.00261727
Siquijor,2012,6,-0.090594954
Eastern Samar,2012,6,-0.112121516
Northern Samar,2012,6,-0.064845235
Southern Leyte,2012,6,-0.102007194
Samar,2012,6,-0.090239468
Agusan Del Norte,2012,6,-0.041506406
Agusan Del Sur,2012,6,-0.072952449
Surigao Del Sur,2012,6,-0.035654152
Lanao Del Sur,2012,6,-0.044152649
Sulu,2012,6,-0.030945825
Tawi-tawi,2012,6,-0.031487029
Basilan,2012,6,-0.053428302
Zamboanga Del Norte,2012,6,-0.015637039
Bukidnon,2012,6,-0.052500197
Camiguin,2012,6,-0.070941917
Misamis Occidental,2012,6,-0.021586254
Misamis Oriental,2012,6,0.273161833
Lanao Del Norte,2012,6,-0.076062893
Davao Del Sur,2012,6,0.136195921
Davao Oriental,2012,6,-0.087353945
North Cotabato,2012,6,-0.070648522
Sultan Kudarat,2012,6,-0.098656878
Bataan,2012,6,0.409813763
Bulacan,2012,6,0.485059108
Nueva Ecija,2012,6,0.066019922
Pampanga,2012,6,1.128721236
Tarlac,2012,6,0.205344129
Zambales,2012,6,0.075036884
Aurora,2012,6,-0.013738432
Batangas,2012,6,0.3813248
Cavite,2012,6,1.685462856
Laguna,2012,6,0.976978714
Quezon,2012,6,0.035325083
Rizal,2012,6,0.640588417
Marinduque,2012,6,-0.008565187
Mindoro Occidental,2012,6,-0.020038841
Mindoro Oriental,2012,6,0.011196833
Palawan,2012,6,-0.003816324
Romblon,2012,6,-0.045203208
Guimaras,2012,7,0.012077016
Iloilo,2012,7,0.005343815
Biliran,2012,7,0.004038577
Leyte,2012,7,0.004716031
Saranggani,2012,7,0.108462943
South Cotabato,2012,7,0.241065319
Compostela,2012,7,0.075749328
Davao del Norte,2012,7,0.117580257
Zamboanga Sibugay,2012,7,-0.007183681
Zamboanga Del Sur,2012,7,0.022123958
Dinagat,2012,7,0.036916485
Surigao Del Norte,2012,7,0.066993009
Maguindanao,2012,7,0.052272482
Shariff Kabunsuan,2012,7,0.021967401
Abra,2012,7,2.09E-04
Apayao,2012,7,3.96E-04
Benguet,2012,7,0.275739821
Ifugao,2012,7,-2.08E-05
Kalinga,2012,7,-0.006646051
Mountain Province,2012,7,0.001755974
Metropolitan Manila,2012,7,0.433282888
Ilocos Norte,2012,7,0.028388861
Ilocos Sur,2012,7,0.017334446
La Union,2012,7,0.016849358
Pangasinan,2012,7,0.005552544
Batanes,2012,7,0.030627834
Cagayan,2012,7,0.034796273
Isabela,2012,7,0.026287045
Nueva Vizcaya,2012,7,0.014257684
Quirino,2012,7,0.027827548
Albay,2012,7,0.018809891
Camarines Norte,2012,7,-4.76E-04
Camarines Sur,2012,7,4.35E-04
Catanduanes,2012,7,-0.009311875
Masbate,2012,7,0.005443793
Sorsogon,2012,7,0.002394271
Aklan,2012,7,-1.36E-05
Antique,2012,7,0.003285165
Capiz,2012,7,4.76E-04
Negros Occidental,2012,7,0.049314006
Bohol,2012,7,0.047876334
Cebu,2012,7,0.113736198
Negros Oriental,2012,7,0.085610677
Siquijor,2012,7,0.011038843
Eastern Samar,2012,7,0.001748895
Northern Samar,2012,7,-0.001849963
Southern Leyte,2012,7,0.010832994
Samar,2012,7,0.005857806
Agusan Del Norte,2012,7,0.127272808
Agusan Del Sur,2012,7,0.053575375
Surigao Del Sur,2012,7,0.053477936
Lanao Del Sur,2012,7,0.097376624
Sulu,2012,7,0.083018626
Tawi-tawi,2012,7,0.046039184
Basilan,2012,7,0.03234715
Zamboanga Del Norte,2012,7,0.013619946
Bukidnon,2012,7,0.101952927
Camiguin,2012,7,0.002186625
Misamis Occidental,2012,7,0.046882099
Misamis Oriental,2012,7,0.158956654
Lanao Del Norte,2012,7,0.05066837
Davao Del Sur,2012,7,0.1398237
Davao Oriental,2012,7,0.059428216
North Cotabato,2012,7,0.066868383
Sultan Kudarat,2012,7,0.060662665
Bataan,2012,7,0.001408994
Bulacan,2012,7,0.00379212
Nueva Ecija,2012,7,0.018649419
Pampanga,2012,7,2.25E-05
Tarlac,2012,7,0.00212009
Zambales,2012,7,0.008453244
Aurora,2012,7,-0.002972645
Batangas,2012,7,0.009189156
Cavite,2012,7,0.016155471
Laguna,2012,7,0.033180579
Quezon,2012,7,0.003187526
Rizal,2012,7,0.066932799
Marinduque,2012,7,0.004741031
Mindoro Occidental,2012,7,0.002024806
Mindoro Oriental,2012,7,2.02E-04
Palawan,2012,7,0.043399793
Romblon,2012,7,0.011433862
Guimaras,2012,8,0.030422432
Iloilo,2012,8,0.061426616
