adm2_en,2000-09,2000-10,2000-11,2001-05,2001-06,2001-07,2001-09,2001-11,2001-12,2002-01,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2004-05,2004-06,2004-07,2004-11,2004-12,2005-03,2005-08,2005-09,2005-11,2006-05,2006-09,2006-10,2006-11,2006-12,2007-11,2008-05,2008-06,2008-08,2008-09,2009-05,2009-06,2009-07,2009-09,2009-10,2010-07,2010-10,2011-05,2011-07,2011-08,2011-09,2011-10,2011-12,2012-06,2012-08,2012-10,2012-12,2013-01,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2014-01,2014-02,2014-07,2014-09,2014-12,2015-01,2015-04,2015-05,2015-07,2015-08,2015-10,2015-12,2016-07,2016-09,2016-10,2016-11,2016-12,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-09,2018-10,2018-11,2019-07,2019-08,2019-11,2019-12,2020-05,2020-10,2020-11,2021-06,2021-09,2021-10,2021-12,2022-04,2022-08,2022-09,2022-10,2023-07,2023-08,2023-12,2024-05,2024-09,2024-10,2024-11
Romblon,0,0.07792,0,0,0,0,0,0.03247,0.00056,0,0,0,0,0,0,0,0,0.0506,0,0,0,0.11046,0,0.00548,0,0,0,0.21916,0,0,0,0.41862,0.00056,0,0.80562,0,0,0,0.02064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01236,0,0,0.00056,0,0,0,0,0,0.00028,0.00028,0,0,0.21269,0,0,0,0,0,0,0.86605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7055,0.04391,0.19238,0.05122,0.00168,0.08096,0,0,0,0,0,0.06093,0,0,0,0.01384,0,0,0
Samar,0,0.07792,0.00344,0,0,0,0,0.00056,0.00112,0,0,0,0,0,0,0,0,0.06648,0,0,0,0,0,0.06444,0,0,0,0.15114,0.37534,0,0,0.28885,0,0,0.48424,0,0,0,0.00892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288,0.01032,0,0.0014,0,0,0,0,0.50764,0.00056,0,0,0,1.39428,0.15113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056,0,0,0,0,0,0,0,0,0.47483,0.70452,0,0,0.00112,0.12291,0,0,0.00864,0,0,0.02024,0,0,0,0,0.00028,0,0
Siquijor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0.18226,0,0,0,0,0,0,0,0,0,0,0,0.00724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorsogon,0,0.24148,0.09612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03605,0,0,0,0,0,0,0,0,0,0.15114,0.62435,0,0,0,0,0,0,0,0,0.00548,0.01552,0,0,0,0,0,0.00084,0.00204,0,0,0,0,0,0,0,0,0,0.0014,0,0,0,0,0,0,0,0.33086,0,0.70052,0.02291,0,0,0,0,0,0.63784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68484,0.46844,0.25337,0,0.00084,0.08672,0,0,0,0,0,0.06655,0,0,0,0,0.00084,0,0
Southern Leyte,0,0,0.00344,0,0,0,0,0.00084,0.00112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06444,0,0,0,0,0,0,0,0.16568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112,0.01376,0,0,0,0,0,0,0,0.00112,0,0,0,0.00316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0,0,0.04062,0,0.67965,0.00864,0,0,0,0,0,0,0,0,0,0
Special Geographic Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Surigao Del Norte,0,0,0.01032,0,0,0,0,0.00028,0.00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,0.01376,0,0,0,0,0,0,0,0.00084,0,0,0,0.00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70852,0.0078,0,0,0,0,0,0,0,0,0,0
Surigao Del Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04968,0,0,0.00112,0.25294,0,0,0,0,0,0,0,0.00056,0,0,0,0.00224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07217,0,0.00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarlac,0,0.0766,0.03282,0,0,0,0,0,0,0,0,0.05383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2169,0,0.50041,0,0,0.18767,0.37731,0,0,0.11333,0,0,0.01208,0,0.12914,0,0,0,0,0,0,0,0,0,0,0,0,0.00056,0,0,0,0.22997,0,0,0,0,0,0,0,0,0,0,0,0.01208,0,0,0,0.46008,0,0,0,0,0,0,0,0,0,0,0.09725,0,0,0,0,0,0.02965,0.00112,0.20728,0.00232,0.04048,0,0,0,0,0.46914,0.06655,0,0,0,0,0,0,0
Tawi-tawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambales,0,0.08672,0.03985,0,0,0,0,0,0,0,0,0.08363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2169,0,0.46563,0,0,0.24199,0.37731,0,0,0.15718,0.01032,0,0.01208,0.10273,0.19238,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0,0,0,0.22997,0,0,0,0.18226,0,0,0,0,0,0,0,0.01735,0.09015,0,0,0.12394,0,0,0,0.00028,0,0.00028,0,0,0,0,0.09725,0,0,0,0,0,0.02965,0.00112,0.25147,0.0026,0.06072,0,0,0,0,0.27915,0.07667,0,0,0,0,0,0,0
Zamboanga Sibugay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Del Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00724,0,0,0,0.18226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Del Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
